codigo_escola;ano;anos_escolares;ideb;indicador_rendimento;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada
35000978;2023;todos (1-4);5.2;0.982044;290.96;299.95;5.266301
35000985;2015;anos_iniciais;7.3;0.97610801;263.51;244.48;7.4379601
35000985;2017;anos_iniciais;7.4;0.99289602;259.11;248.05;7.4192729
35000985;2019;anos_iniciais;7.1;0.99572802;253.83;235.72;7.0941372
35000985;2021;anos_iniciais;7.3;1;255.46;244.24;7.279971
35000985;2023;anos_iniciais;6.8;0.993719;244.19;230.93;6.822895
35001004;2015;anos_finais;4.8;0.99472201;247.16;244.6;4.8626671
35001004;2017;anos_finais;4.7;0.95613402;249.42;243.02;4.874167
35001004;2019;anos_finais;5.5;0.99039602;266.89;269.32;5.6036668
35001004;2021;anos_finais;5.5;0.979865;264.43;270.32;5.579167
35001004;2023;anos_finais;5.3;0.994468;251.88;266.66;5.309
35001004;2017;todos (1-4);;0.887676;;;
35001004;2019;todos (1-4);3.9;0.91766399;254.27;265.86;4.2408118
35001004;2021;todos (1-4);;0.982445;;;
35001004;2023;todos (1-4);4.3;0.989947;262.99;266.2;4.368224
35001016;2015;anos_finais;5.1;0.99154103;254.96;254.56;5.1586671
35001016;2017;anos_finais;5.2;0.99048603;254.44;260.07;5.2418332
35001016;2019;anos_finais;5.3;0.972516;257.73;270.07;5.4635
35001016;2021;anos_finais;5.1;1;252.24;251.56;5.063333
35001016;2023;anos_finais;4.6;0.982697;240.09;243.62;4.7285
35001016;2017;todos (1-4);4.1;0.94763499;258.35;264.36;4.27566
35001016;2019;todos (1-4);4.1;0.899432;263.61;276.17;4.5263238
35001016;2021;todos (1-4);;0.986257;;;
35001016;2023;todos (1-4);;0.895336;;;
35001028;2015;anos_finais;4.2;0.96100599;232.02;228.2;4.3369999
35001028;2017;anos_finais;3.9;0.89262402;221.99;240.14;4.369
35001028;2019;anos_finais;4.4;0.93316197;238.6;246.92;4.7588329
35001028;2021;anos_finais;;0.939766;;;
35001028;2023;anos_finais;4.4;0.9406;239.48;244.15;4.727167
35001028;2017;todos (1-4);;0.79115802;;;
35001028;2019;todos (1-4);3.5;0.84208202;251.22;261.16;4.1276059
35001028;2021;todos (1-4);;0.848262;;;
35001028;2023;todos (1-4);3.9;0.916869;254.45;265.94;4.244388
35001036;2015;anos_finais;4.6;0.91839701;247.33;251.6;4.9821668
35001036;2017;anos_finais;;0.99164402;;;
35001036;2019;anos_finais;5.2;0.99141401;258.1;258.02;5.2690001
35001036;2021;anos_finais;5.3;0.989104;258.78;264.1;5.381333
35001036;2023;anos_finais;5.7;0.966761;275.67;280.5;5.936167
35001036;2017;todos (1-4);;0.95456302;;;
35001036;2019;todos (1-4);4;0.90741098;261.86;271.04;4.4250979
35001036;2021;todos (1-4);;0.973957;;;
35001036;2023;todos (1-4);4.8;0.988404;269.59;293.93;4.87604
35001041;2015;anos_finais;4.5;0.96749002;241.54;234.71;4.604167
35001041;2017;anos_finais;5;0.95605898;250.72;261.98;5.211833
35001041;2019;anos_finais;4.5;0.98870403;238.82;232.36;4.5198331
35001041;2021;anos_finais;;0.993203;;;
35001041;2023;anos_finais;5.2;0.993453;255.57;260.54;5.2685
35001041;2017;todos (1-4);;0.91761303;;;
35001041;2019;todos (1-4);;0.95202398;;;
35001041;2021;todos (1-4);;0.996306;;;
35001041;2023;todos (1-4);4;0.983471;255.45;253.02;4.06502
35001053;2015;anos_iniciais;6.4;0.99393499;236.71;217.99;6.4448738
35001053;2017;anos_iniciais;5.7;0.98558098;220.35;199.1;5.7892051
35001053;2019;anos_iniciais;6.6;0.98006898;245.74;222.25;6.6946559
35001053;2021;anos_iniciais;5.6;0.976315;214.7;203.76;5.766108
35001053;2023;anos_iniciais;6;0.991137;215.54;216.63;6.016139
35001065;2015;anos_iniciais;6.9;0.99339902;250.69;230.27;6.9349399
35001065;2017;anos_iniciais;6.8;0.996759;242.85;231.44;6.8065948
35001065;2019;anos_iniciais;6.9;1;248.46;232.85;6.939292
35001065;2021;anos_iniciais;;0.99839;;;
35001065;2023;anos_iniciais;6.4;1;233.66;218.91;6.403395
35001077;2015;anos_iniciais;7;0.99659097;250.12;234.96;7.009335
35001077;2017;anos_iniciais;6.8;0.995377;243.44;232.07;6.829309
35001077;2019;anos_iniciais;7;0.99258202;247.5;238.64;7.0264258
35001077;2021;anos_iniciais;6.4;1;229.51;224.29;6.422015
35001077;2023;anos_iniciais;6.3;0.997591;227.48;219.21;6.29091
35001089;2015;anos_finais;4.3;0.92071003;242.94;236.03;4.6494999
35001089;2017;anos_finais;4.9;0.97744;244;254.49;4.974833
35001089;2019;anos_finais;4.8;0.96941102;246.13;249.74;4.9313331
35001089;2021;anos_finais;;1;;;
35001089;2023;anos_finais;;0.974021;;;
35001089;2015;anos_iniciais;5.9;1;222.5;201.5;5.8738718
35001089;2017;anos_iniciais;6.6;0.99593502;234.86;227.5;6.5826678
35001089;2019;anos_iniciais;5.8;0.99374098;219.78;204.75;5.8812461
35001089;2021;anos_iniciais;;;;;
35001089;2023;anos_iniciais;;0.972562;;;
35001090;2015;anos_iniciais;6.9;0.99899602;251.22;228.56;6.9139638
35001090;2017;anos_iniciais;7.3;0.99518001;262.02;241.42;7.3542619
35001090;2019;anos_iniciais;7.5;0.99679297;266.26;247.69;7.5488052
35001090;2021;anos_iniciais;6.5;0.989938;236.15;224.27;6.548368
35001090;2023;anos_iniciais;6.4;0.995586;236.86;218.31;6.453554
35001119;2015;anos_iniciais;6.5;1;238.25;222.13;6.5495362
35001119;2017;anos_iniciais;6.4;1;235.38;216.8;6.398046
35001119;2019;anos_iniciais;6;0.995561;225.5;207.78;6.0454879
35001119;2021;anos_iniciais;6.2;0.986397;231.82;215.19;6.300644
35001119;2023;anos_iniciais;6.2;1;228.67;213.9;6.217075
35001120;2015;anos_iniciais;7.5;1;262.46;249.26;7.5048308
35001120;2017;anos_iniciais;7.7;0.99859202;269.02;251.58;7.6723952
35001120;2019;anos_iniciais;7.4;0.99477798;265.22;242.94;7.4425941
35001120;2021;anos_iniciais;6.9;1;247.22;231.16;6.884901
35001120;2023;anos_iniciais;7.2;0.99839;256.9;241.08;7.249997
35001132;2015;anos_finais;4.5;0.98436701;241.04;234.7;4.5956669
35001132;2017;anos_finais;4.3;0.90538001;239.25;244.33;4.7266669
35001132;2019;anos_finais;5.1;0.96212202;256.38;259.91;5.2715001
35001132;2021;anos_finais;5.1;0.98082;252.25;258.15;5.173333
35001132;2023;anos_finais;4.8;0.969028;241.88;256.32;4.97
35001132;2017;todos (1-4);;0.86740202;;;
35001132;2019;todos (1-4);4;0.86242402;268.48;280.04;4.6525159
35001132;2021;todos (1-4);;0.983982;;;
35001132;2023;todos (1-4);;0.888697;;;
35001144;2015;anos_finais;4.1;0.94140399;234.26;224.99;4.3208332
