codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
913662;35913662;ROMILDA LAZARA PILLON DOS SANTOS PROFESSORA;PLANALTO DO SUL;AGUA SUMIDA;TEODORO SAMPAIO;MIRANTE DO PARANAPANEMA;Rural;19280000;-22.31339073;-52.31266022;5,17;1;2020-05-28;9619130;2020;2021;tratada_cmsp
913674;35913674;FRANCISCO FERREIRA DE SOUZA PROFESSOR;TEODORO SAMPAIO;RIBEIRAO BONITO;TEODORO SAMPAIO;MIRANTE DO PARANAPANEMA;Rural;19280000;-22.48542023;-52.38634109;4,82;1;2020-05-27;22756812;2020;2021;tratada_cmsp
913736;35913736;ORLANDO DA COSTA TELLES;IBATE;JARDIM ENCANTO DO PLANALTO;IBATE;SAO CARLOS;Urbana;14815000;-21.94309998;-48.00151062;5,17;1;2020-05-27;81016090;2020;2021;tratada_cmsp
913741;35913741;BENEDICTO RODRIGUES PROFESSOR;SALTO DE PIRAPORA;RECANTO CIDADE NOVA;SALTO DE PIRAPORA;VOTORANTIM;Urbana;18160376;-23.65165329;-47.5695343;5,3;1;2020-05-27;105511837;2020;2021;tratada_cmsp
913765;35913765;LUIZ CARLOS GOMES;BAURU;CONJUNTO HABITACIONAL PRESIDENTE EURICO GASPAR DUT;BAURU;BAURU;Urbana;17057240;-22.32369995;-49.12519836;5,2;1;2020-05-27;42278817;2020;2021;tratada_cmsp
913807;35913807;OMAR DAIBERT REVERENDO;SAO BERNARDO DO CAMPO;DOS CASA;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;Urbana;9850020;-23.73201942;-46.57287979;5,11;1;2020-05-27;59586238;2020;2021;tratada_cmsp
913820;35913820;FRANCISCO VOCCIO;MANDAQUI;VILA SANTOS;SAO PAULO;NORTE 2;Urbana;2636030;-23.45619965;-46.64630127;5,08;1;2020-05-27;76526062;2020;2021;tratada_cmsp
913832;35913832;MARIA APARECIDA FELIX PORTO PROFESSORA;GUARULHOS SUL;PARQUE DAS NACOES;GUARULHOS;GUARULHOS SUL;Urbana;7243340;-23.44124031;-46.41082001;5,39;1;2020-05-27;236757749;2020;2021;tratada_cmsp
913856;35913856;ESMERALDA MILANO MARONI PROFESSORA;BIRIGUI;JANDAIA RESIDENCIAL PARQUE;BIRIGUI;BIRIGUI;Urbana;16203441;-21.30669975;-50.32228088;5,23;1;2020-05-27;69906875;2020;2021;tratada_cmsp
913868;35913868;LUIZA MARIA BERNARDES NORY PROFESSORA;PENAPOLIS;JARDIM ELDORADO;PENAPOLIS;PENAPOLIS;Urbana;16308208;-21.40950012;-50.08435059;5,02;1;2020-05-27;91925235;2020;2021;tratada_cmsp
913923;35913923;PAULO LUIZ DECOURT PROFESSOR;CAMPINAS OESTE;JARDIM ANTONIO VON ZUBEN;CAMPINAS;CAMPINAS OESTE;Urbana;13044640;-22.94842195;-47.03038752;5,61;1;2020-05-27;82954577;2020;2021;tratada_cmsp
913972;35913972;DEOLINDA MANEIRA SEVERO PROFESSORA;INDAIATUBA;JARDIM OLIVEIRA CAMARGO;INDAIATUBA;CAPIVARI;Urbana;13340700;-23.10930061;-47.20449829;5,21;1;2020-05-27;113053842;2020;2021;tratada_cmsp
913984;35913984;ANTONIO MOBILI PADRE;CAMPINAS OESTE;JARDIM CAMPINA GRANDE;CAMPINAS;CAMPINAS OESTE;Urbana;13058620;-22.9619503;-47.21825027;5,09;1;2020-05-27;75226563;2020;2021;tratada_cmsp
913996;35913996;ANNA CALVO DE GODOY PROFESSORA;JAGUARIUNA;JARDIM ALICE;JAGUARIUNA;CAMPINAS LESTE;Urbana;13912062;-22.69218063;-46.98854065;5,29;1;2020-05-27;52176425;2020;2021;tratada_cmsp
914009;35914009;JOANA DE AGUIRRE MARINS PEIXOTO PROFESSORA;MONTE MOR;RESIDENCIAL PARQUE BELA VISTA;MONTE MOR;CAPIVARI;Urbana;13197460;-22.9245491;-47.25246048;5,21;1;2020-05-27;81679961;2020;2021;tratada_cmsp
914010;35914010;ANA FERRARI ROSSI;PEDREIRA;JARDIM MARAJOARA;PEDREIRA;MOGI MIRIM;Urbana;13928408;-22.71730995;-46.89080048;4,92;1;2020-05-27;38561246;2020;2021;tratada_cmsp
