bimestre,grupo,batalhoes,mortes,media_por_batalhao,pct_batalhao_com_mdip
2019-01-01,Controles,83,84,1.01204819277108,0.55421686746988
2019-01-01,Tratados,18,28,1.55555555555556,0.555555555555556
2019-03-01,Controles,83,105,1.26506024096386,0.506024096385542
2019-03-01,Tratados,18,33,1.83333333333333,0.555555555555556
2019-05-01,Controles,83,78,0.939759036144578,0.433734939759036
2019-05-01,Tratados,18,30,1.66666666666667,0.722222222222222
2019-07-01,Controles,83,79,0.951807228915663,0.506024096385542
2019-07-01,Tratados,18,38,2.11111111111111,0.722222222222222
2019-09-01,Controles,83,80,0.963855421686747,0.481927710843373
2019-09-01,Tratados,18,26,1.44444444444444,0.555555555555556
2019-11-01,Controles,83,95,1.14457831325301,0.530120481927711
2019-11-01,Tratados,18,37,2.05555555555556,0.666666666666667
2020-01-01,Controles,83,120,1.44578313253012,0.566265060240964
2020-01-01,Tratados,18,33,1.83333333333333,0.611111111111111
2020-03-01,Controles,83,126,1.51807228915663,0.578313253012048
2020-03-01,Tratados,18,40,2.22222222222222,0.611111111111111
2020-05-01,Controles,83,79,0.951807228915663,0.397590361445783
2020-05-01,Tratados,18,35,1.94444444444444,0.611111111111111
