id_btl_id,id_btl,ano_mes,t,mdip_total,mdip_pm_servico,mdip_pm_folga,mdip_pc,mdip_adolescente,mdip_negros,label_cmdo,data_pov_mes,fase_pov,g,tratado_mes,any_mdip_pm_servico,mdip_pre_media,any_mdip_pre_media,mdip_pre_tendencia
1,10ºBPM/I,2020-04-01,40,7,7,0,0,0,2,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-05-01,41,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-06-01,42,2,2,0,0,0,2,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-07-01,43,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-08-01,44,1,1,0,0,0,1,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-09-01,45,1,1,0,0,0,0,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-10-01,46,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-11-01,47,1,1,0,0,0,0,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2020-12-01,48,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-01-01,49,4,4,0,0,0,4,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-02-01,50,1,1,0,0,0,0,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-03-01,51,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-04-01,52,1,1,0,0,0,0,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-05-01,53,2,2,0,0,0,0,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-06-01,54,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-07-01,55,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-08-01,56,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-09-01,57,1,0,1,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-10-01,58,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-11-01,59,1,1,0,0,0,1,CPI-9,,,0,0,1,1.25,0.694444444444445,0.0235521235521236
1,10ºBPM/I,2021-12-01,60,0,0,0,0,0,0,CPI-9,,,0,0,0,1.25,0.694444444444445,0.0235521235521236
2,10ºBPM/M,2017-01-01,1,2,1,1,0,0,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-02-01,2,7,5,2,0,1,4,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-03-01,3,2,0,2,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-04-01,4,4,4,0,0,0,3,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-05-01,5,1,1,0,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-06-01,6,1,1,0,0,1,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-07-01,7,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-08-01,8,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-09-01,9,2,1,1,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-10-01,10,6,5,1,0,0,2,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-11-01,11,4,4,0,0,2,3,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2017-12-01,12,4,1,1,2,0,0,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-01-01,13,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-02-01,14,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-03-01,15,0,0,0,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-04-01,16,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-05-01,17,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-06-01,18,3,2,1,0,1,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-07-01,19,2,2,0,0,0,1,CPA/M-6,,,0,0,1,1.22222222222222,0.555555555555556,-0.0288288288288288
2,10ºBPM/M,2018-08-01,20,1,0,1,0,0,0,CPA/M-6,,,0,0,0,1.22222222222222,0.555555555555556,-0.0288288288288288
